index,AGS
1683,03355037
1684,03355038
1685,03355039
1686,03355040
1687,03355041
1688,03355042
1689,03355049
1690,03356001
1691,03356002
1692,03356003
1693,03356004
1694,03356005
1695,03356006
1696,03356007
1697,03356008
1698,03356009
1699,03356010
1700,03356011
1701,03357001
1702,03357002
1703,03357003
1704,03357004
1705,03357005
1706,03357006
1707,03357007
1708,03357008
1709,03357009
1710,03357010
1711,03357011
1712,03357012
1713,03357013
1714,03357014
1715,03357015
1716,03357016
1717,03357017
1718,03357018
1719,03357019
1720,03357020
1721,03357021
1722,03357022
1723,03357023
1724,03357024
1725,03357025
1726,03357026
1727,03357027
1728,03357028
1729,03357029
1730,03357030
1731,03357031
1732,03357032
1733,03357033
1734,03357034
1735,03357035
1736,03357036
1737,03357037
1738,03357038
1739,03357039
1740,03357040
1741,03357041
1742,03357042
1743,03357043
1744,03357044
1745,03357045
1746,03357046
1747,03357047
1748,03357048
1749,03357049
1750,03357050
1751,03357051
1752,03357052
1753,03357053
1754,03357054
1755,03357055
1756,03357056
1757,03357057
1758,03358001
1759,03358002
1760,03358003
1761,03358004
1762,03358005
1763,03358006
1764,03358007
1765,03358008
1766,03358009
1767,03358010
1768,03358011
1769,03358012
1770,03358013
1771,03358014
1772,03358015
1773,03358016
1774,03358017
1775,03358018
1776,03358019
1777,03358020
1778,03358021
1779,03358022
1780,03358023
1781,03358501
1782,03359001
1783,03359002
1784,03359003
1785,03359004
1786,03359005
1787,03359006
1788,03359007
1789,03359008
1790,03359009
1791,03359010
1792,03359011
1793,03359012
1794,03359013
1795,03359014
1796,03359015
1797,03359016
1798,03359017
1799,03359018
1800,03359019
1801,03359020
1802,03359021
1803,03359022
1804,03359023
1805,03359024
1806,03359025
1807,03359026
1808,03359027
1809,03359028
1810,03359029
1811,03359030
1812,03359031
1813,03359032
1814,03359033
1815,03359034
1816,03359035
1817,03359036
1818,03359037
1819,03359038
1820,03359039
1821,03359040
1822,03360001
1823,03360002
1824,03360003
1825,03360004
1826,03360005
1827,03360006
1828,03360007
1829,03360008
1830,03360009
1831,03360010
1832,03360011
1833,03360012
1834,03360013
1835,03360014
1836,03360015
1837,03360016
1838,03360017
1839,03360018
1840,03360019
1841,03360020
1842,03360022
1843,03360023
1844,03360024
1845,03360025
1846,03360026
1847,03360029
1848,03360030
1849,03361001
1850,03361002
1851,03361003
1852,03361004
1853,03361005
1854,03361006
1855,03361008
1856,03361009
1857,03361010
1858,03361012
1859,03361013
1860,03401000
1861,03402000
1862,03403000
1863,03404000
1864,03405000
1865,03451001
1866,03451002
1867,03451004
1868,03451005
1869,03451007
1870,03451008
1871,03452001
1872,03452002
1873,03452003
1874,03452006
1875,03452007
1876,03452008
1877,03452009
1878,03452010
1879,03452011
1880,03452012
1881,03452013
1882,03452014
1883,03452015
1884,03452016
1885,03452017
1886,03452019
1887,03452020
1888,03452021
1889,03452022
1890,03452023
1891,03452024
1892,03452025
1893,03452026
1894,03452027
1895,03452501
1896,03453001
1897,03453002
1898,03453003
1899,03453004
1900,03453005
1901,03453006
1902,03453007
1903,03453008
1904,03453009
1905,03453010
1906,03453011
1907,03453012
1908,03453013
1909,03454001
1910,03454002
1911,03454003
1912,03454004
1913,03454005
1914,03454006
1915,03454007
1916,03454008
1917,03454009
1918,03454010
1919,03454011
1920,03454012
1921,03454013
1922,03454014
1923,03454015
1924,03454016
1925,03454017
1926,03454018
1927,03454019
